cod_semestre;cod_facultad;cod_escuela;cod_plan;cod_asignatura;cod_alumno;val_calific_final
20191;20;1;2009;201203M ;13200159;9
20191;20;1;2009;201203M ;9200002;12
20191;20;1;2009;201203M ;9200010;16
20191;20;1;2009;201204;9200082;9
20191;20;1;2009;201204;10200120;12
20191;20;1;2009;201204;12200030;0
20191;20;1;2009;201204;12200171;0
20191;20;1;2009;201205;13200177;12
20191;20;1;2009;201205;11200057;10
20191;20;1;2009;201205;11200061;3
20191;20;1;2009;201205;13200146;14
20191;20;1;2009;201205;11200085;12
20191;20;1;2009;201205;9200001;13
20191;20;1;2009;201206;10200122;8
20191;20;1;2009;201206;10200078;13
20191;20;1;2009;201207;11200182;13
20191;20;1;2009;201207;11200200;14
20191;20;1;2009;201207;12200135;16
20191;20;1;2009;201207;13200139;0
20191;20;1;2009;201207;10200185;11
20191;20;1;2009;201207;11200018;12
20191;20;1;2009;201207;13200031;13
20191;20;1;2009;201207;11200225;13
20191;20;1;2009;201207;13200168;12
20191;20;1;2009;201208;13200205;14
20191;20;1;2009;201208;13200003;14
20191;20;1;2009;201208;13200023;14
20191;20;1;2009;201208;12200177;15
20191;20;1;2009;201210;13200080;10
20191;20;1;2009;201210;10200224;15
20191;20;1;2009;201211;9200121;14
20191;20;1;2009;201211;13200185;16
20191;20;1;2009;201211;13200205;14
20191;20;1;2009;201211;12200031;7
20191;20;1;2009;201211;13200080;11
20191;20;1;2009;201211;13200010;15
20191;20;1;2009;201211;12200079;4
20191;20;1;2009;201211;9200027;8
20191;20;1;2009;201211;13200098;3
20191;20;1;2009;201211;9200180;15
20191;20;1;2009;201211;9200211;10
20191;20;1;2009;201211;11200079;10
20191;20;1;2009;201211;11200083;8
20191;20;1;2009;201211;13200158;9
20191;20;1;2009;202001;9200132;2
20191;20;1;2009;202001;13200038;0
20191;20;1;2009;202001;11200054;11
20191;20;1;2009;202003;12200109;11
20191;20;1;2009;202003;11200098;9
20191;20;1;2009;202004;11200193;13
20191;20;1;2009;202004;13200038;0
20191;20;1;2009;202007;11200076;11
20191;20;1;2009;202008;12200109;12
20191;20;1;2009;202008;13200038;0
20191;20;1;2009;203001;11200193;12
20191;20;1;2009;203001;9200187;0
20191;20;1;2009;203004;11200054;0
20191;20;1;2009;203004;13200172;10
20191;20;1;2009;203005;13200038;4
20191;20;1;2009;203005;9200187;0
20191;20;1;2009;203005;11200054;11
20191;20;1;2009;203007;13200038;0
20191;20;1;2009;204001;10200238;13
20191;20;1;2009;204001;11200069;13
20191;20;1;2009;204001;13200093;0
20191;20;1;2009;204001;12200071;15
20191;20;1;2009;204001;9200013;13
20191;20;1;2009;204001;15200191;13
20191;20;1;2009;204002;9200013;11
20191;20;1;2009;204002;11200080;11
20191;20;1;2009;204002;15200191;5
20191;20;1;2009;204004;9200013;8
20191;20;1;2009;204004;13200038;0
20191;20;1;2009;204004;11200054;0
20191;20;1;2009;204008;12200109;14
20191;20;1;2009;205001;9200016;14
20191;20;1;2009;205001;12200177;11
20191;20;1;2009;205001;10200133;10
20191;20;1;2009;205001;11200080;9
20191;20;1;2009;205006;10200084;4
20191;20;1;2009;205006;11200076;3
20191;20;1;2009;205006;13200080;0
20191;20;1;2009;205006;9200187;0
20191;20;1;2009;205006;11200069;10
20191;20;1;2009;205006;13200134;14
20191;20;1;2009;205006;11200079;1
20191;20;1;2009;205006;12200098;13
20191;20;1;2009;205006;13200093;0
20191;20;1;2009;205006;12200021;0
20191;20;1;2009;205007;11200063;11
20191;20;1;2009;205007;12200097;0
20191;20;1;2009;205007;12200112;6
20191;20;1;2009;205007;13200093;4
20191;20;1;2009;205007;12200021;8
20191;20;1;2009;205008;10200238;0
20191;20;1;2009;205008;11200045;11
20191;20;1;2009;205009;12200097;0
20191;20;1;2009;205009;9200013;6
20191;20;1;2009;205009;11200080;7
20191;20;1;2009;205009;11200189;0
20191;20;1;2009;205009;10200238;0
20191;20;1;2009;205009;15200191;2
20191;20;1;2009;206001;11200063;14
20191;20;1;2009;206001;12200021;0
20191;20;1;2009;206001;9200002;11
20191;20;1;2009;206001;11200069;9
20191;20;1;2009;206001;10200133;12
20191;20;1;2009;206001;11200018;13
20191;20;1;2009;206001;13200166;6
20191;20;1;2009;206007;12200171;4
20191;20;1;2009;206007;13200172;0
20191;20;1;2009;206007;11200045;11
20191;20;1;2009;206007;11200076;2
20191;20;1;2009;206007;10200203;11
20191;20;1;2009;206007;11200099;12
20191;20;1;2009;206007;12200030;12
20191;20;1;2009;206007;13200073;3
20191;20;1;2009;206008;12200071;0
20191;20;1;2009;206008;13200073;0
20191;20;1;2009;206009;11200189;2
20191;20;1;2009;206009;13200073;0
20191;20;1;2009;206009;11200099;12
20191;20;1;2009;206009;9200002;13
20191;20;1;2009;206010;12200030;14
20191;20;1;2009;206010;12200177;13
20191;20;1;2009;206010;11200099;12
20191;20;1;2009;206010;10200150;0
20191;20;1;2009;206010;9200002;12
20191;20;1;2009;206010;12200097;0
20191;20;1;2009;206010;15200191;12
20191;20;1;2009;206011;12200030;11
20191;20;1;2009;206011;13200080;9
20191;20;1;2009;207002;12200135;13
20191;20;1;2009;207002;9200016;15
20191;20;1;2009;207002;13200098;2
20191;20;1;2009;207002;9200211;11
20191;20;1;2009;207003;10200150;0
20191;20;1;2009;207003;13200159;9
20191;20;1;2009;207003;9200002;10
20191;20;1;2009;207003;9200082;12
20191;20;1;2009;207003;13200088;5
20191;20;1;2009;207003;11200018;11
20191;20;1;2009;207007;13200088;12
20191;20;1;2009;207007;11200018;11
20191;20;1;2009;207007;10200150;0
20191;20;1;2009;207007;13200168;12
20191;20;1;2009;207007;9200082;13
20191;20;1;2009;207007;12200116;11
20191;20;1;2009;207007;13200159;14
20191;20;1;2009;207007;9200002;12
20191;20;1;2009;207008;11200045;11
20191;20;1;2009;207008;11200069;12
20191;20;1;2009;207008;10200133;6
20191;20;1;2009;207008;13200073;2
20191;20;1;2009;207008;12200071;11
20191;20;1;2009;207008;10200150;0
20191;20;1;2009;207008;15200191;11
20191;20;1;2009;207009;11200200;13
20191;20;1;2009;207009;11200069;12
20191;20;1;2009;207009;12200171;0
20191;20;1;2009;207009;13200149;12
20191;20;1;2009;207009;9200016;15
20191;20;1;2009;207009;9200211;14
20191;20;1;2009;207009;11200225;11
20191;20;1;2009;207009;13200159;8
20191;20;1;2009;207009;13200168;13
20191;20;1;2009;207009;15200191;9
20191;20;1;2009;207010;12200030;0
20191;20;1;2009;207010;13200166;14
20191;20;1;2009;207010;9200078;15
20191;20;1;2009;207010;13200149;15
20191;20;1;2009;207010;9200002;11
20191;20;1;2009;207010;13200159;0
20191;20;1;2009;207010;13200098;4
20191;20;1;2009;207010;10200089;14
20191;20;1;2009;207010;11200045;12
20191;20;1;2009;208001;13200168;17
20191;20;1;2009;208001;9200111;17
20191;20;1;2009;208001;10200078;16
20191;20;1;2009;208001;11200200;17
20191;20;1;2009;208001;10200089;17
20191;20;1;2009;208001;12200148;15
20191;20;1;2009;208001;12200031;12
20191;20;1;2009;208001;13200080;17
20191;20;1;2009;208001;13200087;15
20191;20;1;2009;208001;13200091;12
20191;20;1;2009;208001;9200027;11
20191;20;1;2009;208001;9200180;17
20191;20;1;2009;208001;9200211;17
20191;20;1;2009;208001;11200083;18
20191;20;1;2009;208003;13200185;18
20191;20;1;2009;208003;9200111;15
20191;20;1;2009;208003;10200078;15
20191;20;1;2009;208003;10200089;8
20191;20;1;2009;208003;12200148;10
20191;20;1;2009;208003;13200087;10
20191;20;1;2009;208003;13200091;11
20191;20;1;2009;208003;9200180;18
20191;20;1;2009;208003;11200116;11
20191;20;1;2009;208003;13200158;8
20191;20;1;2009;208003;9200078;15
20191;20;1;2009;208003;12200116;0
20191;20;1;2009;208003;10200192;11
20191;20;1;2009;208003;9200027;11
20191;20;1;2009;208003;11200083;13
20191;20;1;2009;208007;13200168;13
20191;20;1;2009;208007;9200078;14
20191;20;1;2009;208007;9200111;15
20191;20;1;2009;208007;11200200;15
20191;20;1;2009;208007;10200089;11
20191;20;1;2009;208007;11200062;15
20191;20;1;2009;208007;12200116;14
20191;20;1;2009;208007;12200145;14
20191;20;1;2009;208007;12200148;14
20191;20;1;2009;208007;12200031;14
20191;20;1;2009;208007;13200087;13
20191;20;1;2009;208007;13200091;13
20191;20;1;2009;208007;9200180;14
20191;20;1;2009;208007;11200083;11
20191;20;1;2009;208008;13200179;17
20191;20;1;2009;208008;10200078;0
20191;20;1;2009;208008;11200062;0
20191;20;1;2009;208008;13200080;0
20191;20;1;2009;208008;13200158;0
20191;20;1;2009;208008;10200118;15
20191;20;1;2009;208008;13200031;15
20191;20;1;2009;208008;13200098;0
20191;20;1;2009;208008;9200010;17
20191;20;1;2009;208008;11200061;0
20191;20;1;2009;208008;12200148;0
20191;20;1;2009;208008;13200087;1
20191;20;1;2009;208008;12200079;0
20191;20;1;2009;208008;9200027;0
20191;20;1;2009;208008;11200083;15
20191;20;1;2009;208008;13200185;17
20191;20;1;2009;208008;13200091;16
20191;20;1;2009;208008;13200023;16
20191;20;1;2009;208008;9200180;17
20191;20;1;2009;208008;13200138;5
20191;20;1;2009;208008;12200031;0
20191;20;1;2009;208008;13200104;0
20191;20;1;2009;208008;9200078;9
20191;20;1;2009;208008;13200088;0
20191;20;1;2009;208008;10200073;0
20191;20;1;2009;208009;13200170;16
20191;20;1;2009;208009;13200179;15
20191;20;1;2009;208009;13200185;14
