cod_escuela,cod_plan,cod_asignatura,nombre_Curso,val_calific_final
2,2018,202W0407,SISTEMAS DIGITALES,14
2,2018,202W0407,SISTEMAS DIGITALES,12
2,2018,202W0407,SISTEMAS DIGITALES,2
2,2018,202W0407,SISTEMAS DIGITALES,13
2,2018,202W0407,SISTEMAS DIGITALES,7
2,2018,202W0407,SISTEMAS DIGITALES,14
2,2018,202W0407,SISTEMAS DIGITALES,17
2,2018,202W0407,SISTEMAS DIGITALES,13
2,2018,202W0407,SISTEMAS DIGITALES,15
2,2018,202W0407,SISTEMAS DIGITALES,17
2,2018,202W0407,SISTEMAS DIGITALES,17
2,2018,202W0407,SISTEMAS DIGITALES,19
2,2018,202W0407,SISTEMAS DIGITALES,18
2,2018,202W0407,SISTEMAS DIGITALES,15
2,2018,202W0407,SISTEMAS DIGITALES,15
2,2018,202W0407,SISTEMAS DIGITALES,15
2,2018,202W0407,SISTEMAS DIGITALES,17
2,2018,202W0407,SISTEMAS DIGITALES,16
2,2018,202W0407,SISTEMAS DIGITALES,18
2,2018,202W0407,SISTEMAS DIGITALES,7
2,2018,202W0407,SISTEMAS DIGITALES,16
2,2018,202W0407,SISTEMAS DIGITALES,14
2,2018,202W0407,SISTEMAS DIGITALES,19
2,2018,202W0407,SISTEMAS DIGITALES,14
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,12
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,8
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,7
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,8
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,7
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,9
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,8
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,4
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,8
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,7
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,9
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,3
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,2
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,7
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,11
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,9
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,11
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,8
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,9
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,2
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,9
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,11
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,11
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,11
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,11
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,6
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,9
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,11
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,9
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,4
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,3
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,2
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,13
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,14
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,14
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,14
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,14
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,14
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,13
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,13
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,13
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,14
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,14
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,14
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,14
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,14
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,14
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,14
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,15
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,16
2,2018,202W0501,ANÁLISIS Y DISEÑO DE ALGORITMOS,14
